Name,Platform,Genre,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,XGRP
Madagascar: Escape 2 Africa,Wii,Action,2008.0,Activision,32,18,0,5,A
Front Mission 4,PS2,Strategy,2003.0,Square Enix,14,11,25,4,A
Battle Fantasia,PS3,Fighting,2008.0,505 Games,0,0,1,0,A
CSI: 3 Dimensions of Murder,PS2,Adventure,2007.0,Ubisoft,7,6,0,2,A
Discovery Kids: Parrot Pals,DS,Simulation,2009.0,505 Games,7,0,0,0,A
The Stronghold Collection,PC,Strategy,2009.0,Take-Two Interactive,3,8,0,2,A
Saki: Zenkoku-hen,PSV,Misc,2015.0,Kaga Create,0,0,5,0,A
Starhawk,PS3,Action,2012.0,Sony Computer Entertainment,18,5,3,3,A
Poker for Dummies,PC,Misc,2008.0,Electronic Arts,0,1,0,0,A
Tales of Xillia,PS3,Role-Playing,2011.0,Namco Bandai Games,28,19,67,9,A
Monster Jam: Maximum Destruction,GC,Racing,2002.0,Ubisoft,4,1,0,0,A
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,Action,2013.0,D3Publisher,3,4,0,1,A
Shining Wind,PS2,Role-Playing,2007.0,Sega,0,0,13,0,A
Blender Bros.,GBA,Platform,2002.0,Unknown,2,1,0,0,A
Just Sing! Vol. 2,DS,Misc,2011.0,PQube,0,4,0,1,A
Enemy Territory: Quake Wars,X360,Shooter,2008.0,Activision,30,11,0,4,A
Virus,SAT,Shooter,1997.0,Hudson Soft,0,0,8,0,A
Puppies 3D,3DS,Misc,2011.0,Ubisoft,8,4,0,1,A
Nounai Aeshe: IQ Suppli DS,DS,Misc,2006.0,Spike,0,0,30,0,A
Nisenochigiri,PSP,Adventure,2010.0,Idea Factory,0,0,2,0,A
The Fight: Lights Out,PS3,Fighting,2010.0,Sony Computer Entertainment,28,22,0,9,A
Horrid Henry: Missions of Mischief,DS,Adventure,2010.0,SouthPeak Games,1,15,0,2,A
Digimon Battle Spirit 2,GBA,Fighting,2003.0,Namco Bandai Games,11,4,0,0,A
Disgaea 5: Alliance of Vengeance,PS4,Role-Playing,2015.0,Nippon Ichi Software,10,8,6,4,A
Need for Speed Carbon,PS2,Racing,2006.0,Electronic Arts,122,5,5,1,A
Ultimate Ghosts 'n Goblins,PSP,Platform,2006.0,Capcom,7,1,0,1,A
The Settlers 7: Paths to a Kingdom,PC,Strategy,2010.0,Ubisoft,0,26,0,6,A
Fight Night Round 2,GC,Fighting,2005.0,Electronic Arts,13,3,0,0,A
SpongeBob SquarePants: Plankton's Robotic Revenge,WiiU,Shooter,2013.0,Activision,0,4,0,0,A
Taz Wanted,PS2,Platform,2002.0,Atari,8,6,0,2,A
Dragon Ball GT: Final Bout,PS,Fighting,1997.0,Namco Bandai Games,2,2,22,2,A
Hysteria Hospital: Emergency Ward,Wii,Action,2009.0,Oxygen Interactive,5,0,0,0,A
Amnesia Later,PSP,Misc,2012.0,Idea Factory,0,0,5,0,A
Tomb Raider: Anniversary,PS2,Action,2007.0,Eidos Interactive,41,2,0,7,A
Kuon,PS2,Adventure,2004.0,Indie Games,1,1,0,0,A
Ridge Racer Revolution,PS,Racing,1995.0,Sony Computer Entertainment,17,12,71,7,A
Natsuiro High School: Seishun Hakusho,PS4,Action,2015.0,D3Publisher,0,0,2,0,A
ParaParaParadise,PS2,Misc,2001.0,Konami Digital Entertainment,0,0,3,0,A
X-Men: The Official Game,PS2,Action,2006.0,Activision,20,16,0,5,A
Jissen Pachi-Slot Hisshouhou! Aladdin A,PS2,Misc,2002.0,Sammy Corporation,0,0,20,0,A
1000 Cooking Recipes from ELLE 횪 table,DS,Misc,2010.0,Nintendo,0,2,0,0,A
Mortal Kombat: Special Forces,PS,Fighting,2000.0,Midway Games,12,8,0,1,A
Conflict: Desert Storm,XB,Shooter,2002.0,SCi,48,37,0,2,A
Phineas and Ferb: Across the 2nd Dimension,DS,Action,2011.0,Disney Interactive Studios,32,19,0,5,A
San Goku Shi DS 2,DS,Strategy,2007.0,Tecmo Koei,0,0,2,0,A
Watashi no Relaxuma,DS,Simulation,2007.0,Rocket Company,0,0,4,0,A
System 3 presents Ferrari Challenge Trofeo Pirelli,DS,Racing,2008.0,System 3 Arcade Software,3,1,0,0,A
Ride,PC,Racing,2015.0,Milestone S.r.l.,0,3,0,0,A
The King of Fighters XII,PS3,Fighting,2009.0,Ignition Entertainment,11,1,3,1,A
Guilty Gear Xrd: Sign,PS4,Fighting,2014.0,Arc System Works,10,0,4,2,A
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,Misc,2016.0,Tecmo Koei,0,0,3,0,A
Little Deviants,PSV,Platform,2011.0,Sony Computer Entertainment,15,13,0,5,A
Toushin Toshi,3DS,Role-Playing,2014.0,imageepoch Inc.,0,0,3,0,A
Secret Agent Clank(US sales),PSP,Platform,2008.0,Sony Computer Entertainment,33,22,0,0,A
Jampack Winter 2001,PS2,Misc,2001.0,Sony Computer Entertainment,35,28,0,9,A
Dragon Slayer: The Legend of Heroes,SNES,Role-Playing,1992.0,Epoch,0,0,7,0,A
Metal Slug 4 & 5,XB,Shooter,2005.0,SNK Playmore,3,1,0,0,A
Gauntlet: Seven Sorrows,PS2,Role-Playing,2005.0,Midway Games,20,15,0,5,A
Renai Banchou: Inochi Meishi: Koiseyo Otome! Love is Power!!!,PSP,Adventure,2010.0,Idea Factory,0,0,2,0,A
Pipe Dreams 3D,PS,Puzzle,2001.0,Empire Interactive,8,5,0,1,A
Terminator 3: Rise of the Machines,GBA,Action,2003.0,Atari,4,2,0,0,A
Gal*Gun,X360,Shooter,2011.0,Alchemist,0,0,4,0,A
Mace: The Dark Age,N64,Fighting,1997.0,GT Interactive,15,4,0,0,A
World of Outlaws: Sprint Cars,X360,Racing,2010.0,THQ,17,0,0,1,A
The Sum of All Fears,GC,Shooter,2003.0,Ubisoft,3,1,0,0,A
Monster Hunter G,PS2,Role-Playing,2005.0,Capcom,0,0,23,0,A
Medal of Honor: Airborne,PS3,Shooter,2007.0,Electronic Arts,25,70,3,25,A
Call of Duty: Black Ops,DS,Shooter,2010.0,Activision,54,5,0,4,A
Warhammer 40:000: Space Marine,X360,Shooter,2011.0,THQ,25,27,0,6,A
Cy Girls,PS2,Action,2004.0,Konami Digital Entertainment,2,1,0,0,A
Assassin's Creed Chronicles,XOne,Action,2016.0,Ubisoft,0,1,0,0,A
Phoenix Wright: Ace Attorney Trilogy,3DS,Adventure,2014.0,Capcom,0,0,2,0,A
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,3DS,Misc,2014.0,Namco Bandai Games,0,0,12,0,A
LEGO Racers,PS,Racing,1999.0,LEGO Media,20,14,0,2,A
Ni Hao: Kai-lan: Super Game Day,Wii,Misc,2009.0,Take-Two Interactive,18,0,0,1,A
Army Men: Sarge's Heroes,PS,Action,1999.0,3DO,31,21,0,4,A
Secret Weapons Over Normandy,XB,Simulation,2003.0,LucasArts,19,5,0,1,A
GRID,PS3,Racing,2008.0,Codemasters,31,56,3,20,A
Brain Boost: Gamma Wave,DS,Puzzle,2005.0,505 Games,14,0,0,1,A
Active Life: Magical Carnival,Wii,Misc,2011.0,Namco Bandai Games,4,1,0,0,A
Dead Space 2,PC,Shooter,2011.0,Electronic Arts,13,15,0,5,A
X-Men vs. Street Fighter,SAT,Fighting,1997.0,Capcom,0,0,26,0,A
Onimusha: Dawn of Dreams,PS2,Action,2006.0,Capcom,15,12,34,4,A
BattleTanx,N64,Action,1998.0,3DO,26,6,0,0,A
Spec Ops: The Line,PC,Shooter,2012.0,Take-Two Interactive,11,9,0,3,A
Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,Action,2010.0,Takara Tomy,0,0,6,0,A
Senritsu no Stratus,PSP,Role-Playing,2011.0,Konami Digital Entertainment,0,0,6,0,A
Spy Hunter,GC,Racing,2002.0,Midway Games,16,4,0,1,A
Burnout,XB,Racing,2002.0,Acclaim Entertainment,9,3,0,0,A
Dynasty Warriors 8: Empires,PSV,Action,2015.0,Tecmo Koei,0,0,2,0,A
Iron Chef America: Supreme Cuisine,DS,Simulation,2008.0,Destineer,18,0,0,1,A
Skies of Arcadia,DC,Role-Playing,2000.0,Sega,0,0,9,0,A
Diablo III,XOne,Role-Playing,2014.0,Activision,35,24,0,5,A
SWAT: Global Strike Team,PS2,Shooter,2003.0,Vivendi Games,16,12,0,4,A
Monkey Mischief! Party Time,Wii,Misc,2008.0,Activision,9,0,0,1,A
Harvest Moon DS (jp sales),DS,Simulation,2005.0,Rising Star Games,0,0,13,0,A
Starry ? Sky: After Summer,PSP,Misc,2013.0,Asgard,0,0,2,0,A
BattleForge,PC,Strategy,2009.0,Electronic Arts,0,1,0,0,A
Dragon Booster,DS,Shooter,2005.0,Konami Digital Entertainment,2,0,0,0,A
Dark Souls II,PS4,Role-Playing,2015.0,Namco Bandai Games,20,22,8,8,A
Backyard Wrestling 2: There Goes the Neighborhood,PS2,Fighting,2004.0,Eidos Interactive,14,11,0,4,A
New Super Mario Bros. 2,3DS,Platform,2012.0,Nintendo,366,307,247,63,A
Dance Factory,PS2,Action,2006.0,Codemasters,2,1,0,0,A
Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,Misc,2009.0,Namco Bandai Games,0,0,40,0,A
Hi-Octane: The Track Fights Back!,PS,Racing,1995.0,Electronic Arts,3,2,0,0,A
Moto Racer World Tour,PS,Racing,2000.0,Sony Computer Entertainment,21,14,0,2,A
Indy 500,2600,Racing,null,Atari,26,1,0,0,A
Interactive Storybook DS Series 1,DS,Misc,2007.0,Tommo,6,0,0,0,A
Just Sing!,DS,Misc,2009.0,DTP Entertainment,14,1,0,1,A
Military History: Commander - Europe at War,PSP,Strategy,2009.0,Slitherine Software,0,1,0,1,A
50 Cent: Bulletproof,PSP,Action,2006.0,Vivendi Games,8,0,0,1,A
Point Blank,PS,Shooter,1997.0,Sony Computer Entertainment,5,3,23,2,A
God of War: Ascension,PS3,Action,2013.0,Sony Computer Entertainment,123,68,4,34,A
Tao Adventure: Curse Demon,DS,Role-Playing,2005.0,Konami Digital Entertainment,3,0,0,0,A
iCarly,DS,Adventure,2009.0,Activision,67,1,0,5,A
There,PS,Simulation,2002.0,Infogrames,3,2,0,0,A
Cake Mania 2: Jill's Next Adventure!,DS,Puzzle,2008.0,Majesco Entertainment,24,0,0,2,A
Dead or Alive Ultimate,XB,Fighting,2004.0,Tecmo Koei,30,10,8,2,A
Art of Fighting 3: The Path of the Warrior,NG,Fighting,1996.0,SNK,0,0,4,0,A
Luminous Arc,DS,Role-Playing,2007.0,Rising Star Games,16,0,6,1,A
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,1996.0,Nintendo,117,50,175,8,A
Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,Fighting,1996.0,Tomy Corporation,0,0,26,2,A
Armored Core: Nine Breaker,PS2,Simulation,2004.0,505 Games,3,3,0,1,A
Watch Dogs,XOne,Action,2014.0,Ubisoft,90,53,0,13,A
Fatal Inertia,X360,Racing,2007.0,Tecmo Koei,12,0,0,1,A
Generator Rex: Agent of Providence,3DS,Action,2011.0,Activision,7,2,0,1,A
Buzz! Quiz World,PS3,Misc,2009.0,Sony Computer Entertainment,16,57,0,20,A
Sword Art Online: Hollow Fragment,PSV,Role-Playing,2014.0,Namco Bandai Games,0,0,30,0,A
Puzzle Quest: Challenge of the Warlords,PSP,Puzzle,2007.0,D3Publisher,1,0,0,0,A
Scarface: Money. Power. Respect.,PSP,Strategy,2006.0,Vivendi Games,15,0,0,1,A
BoomBots,PS,Fighting,1999.0,SouthPeak Games,6,4,0,1,A
Grisaia no Rakuen: Le Eden de la Grisaia,PSV,Adventure,2014.0,Prototype,0,0,2,0,A
Band Hero,DS,Misc,2009.0,Activision,21,19,0,5,A
NASCAR 99,N64,Racing,1998.0,Electronic Arts,94,4,0,1,A
Speed Zone,Wii,Racing,2009.0,Bethesda Softworks,1,5,0,1,A
Tetrisphere,N64,Puzzle,1997.0,Nintendo,28,6,0,0,A
Indiana Jones and the Staff of Kings,PS2,Action,2009.0,Activision,11,1,0,16,A
SpongeBob's Atlantis SquarePantis,Wii,Action,2007.0,THQ,56,1,0,4,A
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,Misc,1996.0,GT Interactive,52,36,0,6,A
Monster High 13 Wishes,3DS,Action,2013.0,Little Orbit,0,2,0,0,A
To Heart,PS,Adventure,1999.0,Aqua Plus,0,0,13,1,A
Asphalt: Injection,PSV,Action,2011.0,Ubisoft,14,6,0,4,A
The Idolm@ster 2,PS3,Misc,2011.0,Namco Bandai Games,0,0,16,0,A
The Grim Adventures of Billy & Mandy,Wii,Action,2006.0,Midway Games,4,0,0,0,A
Amazing Adventures: The Forgotten Ruins,DS,Adventure,2008.0,PopCap Games,13,8,0,2,A
F1 2016 (Codemasters),PC,Racing,2016.0,Codemasters,0,2,0,0,A
Wizardry VII: Gadeia no Houshu,PS,Role-Playing,1995.0,Sony Computer Entertainment,0,0,14,1,A
Dora's Big Birthday Adventure,Wii,Misc,2010.0,Take-Two Interactive,10,1,0,1,A
Heavy Rain,PS3,Adventure,2010.0,Sony Computer Entertainment,129,127,6,50,A
Accel World: Kasoku no Chouten,PSP,Adventure,2013.0,Namco Bandai Games,0,0,1,0,A
Marvel Super Hero Squad,DS,Fighting,2009.0,THQ,37,2,0,3,A
Fullmetal Alchemist: Prince of the Dawn,Wii,Adventure,2009.0,Square Enix,0,0,1,0,A
Sonic & All-Stars Racing Transformed,PC,Racing,2013.0,Sega,0,1,0,0,A
Sega Arcade Gallery,GBA,Misc,2003.0,THQ,3,1,0,0,A
Namco Museum,XB,Misc,null,Unknown,77,11,0,4,A
Doraemon: Nobita no Uchuu Eiyuuki,3DS,Action,2015.0,FuRyu,0,0,6,0,A
RC Revenge Pro,PS2,Racing,2000.0,Acclaim Entertainment,8,6,0,2,A
Petz Pony: Beauty Pageant,DS,Simulation,2009.0,Ubisoft,18,0,0,1,A
Death By Degrees,PS2,Action,2005.0,Sony Computer Entertainment,5,4,0,1,A
Syphon Filter: Logan's Shadow,PS2,Shooter,2010.0,Sony Computer Entertainment,3,2,0,1,A
Denki Blocks!,GBA,Puzzle,2001.0,Rage Software,3,1,0,0,A
Gitaroo Man Lives!,PSP,Misc,2006.0,Tecmo Koei,3,0,0,0,A
MuvLuv Double Pack,PSV,Adventure,2016.0,5pb,0,0,2,0,A
Over G Fighters,X360,Simulation,2006.0,Ubisoft,19,1,0,2,A
Karaoke Revolution Presents American Idol Encore 2,X360,Misc,2008.0,Konami Digital Entertainment,8,0,0,1,A
Army Men: RTS,PS2,Strategy,2002.0,3DO,5,4,0,1,A
Populous DS,DS,Strategy,2008.0,Rising Star Games,7,0,2,1,A
World Championship Poker: Howard Lederer - All In,PSP,Misc,2006.0,505 Games,13,0,0,1,A
WWE SmackDown vs. Raw 2010,PSP,Fighting,2009.0,THQ,25,23,0,14,A
Call of Duty: Modern Warfare Trilogy,PS3,Shooter,2016.0,Activision,0,1,0,0,A
Dennou Senki Virtual-On Force,X360,Fighting,2010.0,Sega,0,0,3,0,A
The Legend of Zelda: Oracle of Ages,GB,Action,2001.0,Nintendo,92,53,41,6,A
Medal of Honor,PC,Shooter,2010.0,Electronic Arts,20,23,0,7,A
Resident Evil Zero,PC,Action,2016.0,Capcom,1,1,0,0,A
Arcana Heart 3,PS3,Fighting,2011.0,PQube,4,5,10,2,A
Disney's The Haunted Mansion,GC,Platform,2003.0,Take-Two Interactive,8,2,0,0,A
Blazblue: Continuum Shift Extend,PSP,Fighting,2012.0,Arc System Works,0,0,1,0,A
Combat of Giants: Dinosaurs 3D,3DS,Strategy,2011.0,Ubisoft,25,6,5,3,A
Andretti Racing,PS,Racing,1996.0,Electronic Arts,43,28,0,5,A
Fate/Unlimited Codes,PS2,Fighting,2008.0,Capcom,0,0,14,0,A
Battlefield 4,XOne,Shooter,2013.0,Electronic Arts,125,57,0,16,A
The Awakened Fate Ultimatum,PS3,Role-Playing,2014.0,Nippon Ichi Software,0,0,2,0,A
Arcania: Gothic 4,PS4,Role-Playing,2015.0,Nordic Games,4,0,0,1,A
Activision Anthology,GBA,Misc,2003.0,Activision,3,1,0,0,A
Young Justice: Legacy,PS3,Action,2013.0,Namco Bandai Games,6,2,0,1,A
The Book of Unwritten Tales: The Critter Chronicles,PC,Action,2011.0,Crimson Cow,0,5,0,1,A
Sports Car GT,PS,Racing,1999.0,Electronic Arts,12,8,0,1,A
Dragon Ball Z: Ultimate Tenkaichi,PS3,Fighting,2011.0,Namco Bandai Games,27,18,9,8,A
Odama,GC,Misc,2006.0,Nintendo,7,2,2,0,A
Silent Hill: Downpour,X360,Action,2012.0,Konami Digital Entertainment,22,8,0,3,A
MotorStorm RC,PSV,Racing,2012.0,Sony Computer Entertainment,0,5,0,2,A
Scribblenauts: Unlimited,3DS,Action,2012.0,Warner Bros. Interactive Entertainment,55,1,0,4,A
Spider-Man 3,Wii,Platform,2007.0,Activision,42,2,0,4,A
Fuzion Frenzy 2,X360,Misc,2007.0,Microsoft Game Studios,14,1,0,1,A
Hasbro Family Game Night,DS,Puzzle,2009.0,Electronic Arts,1,19,0,2,A
Sid Meier's Pirates!,XB,Strategy,2005.0,Take-Two Interactive,11,3,0,1,A
Forza Motorsport 5,XOne,Racing,2013.0,Microsoft Game Studios,121,78,1,17,A
Tears to Tiara: Kakan no Daichi Portable,PSP,Adventure,2010.0,Aqua Plus,0,0,1,0,A
Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,PSP,Fighting,2011.0,Namco Bandai Games,0,0,6,0,A
Sumikko Gurashi: Omise Hajimerundesu,3DS,Action,2015.0,Nippon Columbia,0,0,14,0,A
Nobunaga no Yabou Online: Houou no Shou,PS3,Strategy,2012.0,Ackkstudios,0,0,1,0,A
Superstars V8 Racing,X360,Racing,2009.0,Black Bean Games,0,1,0,0,A
Suikoden V,PS2,Role-Playing,2006.0,Konami Digital Entertainment,8,6,19,2,A
Naruto Shippuden: Naruto vs. Sasuke,DS,Action,2008.0,Takara Tomy,8,0,3,1,A
Super Bomberman 5,SNES,Puzzle,1997.0,Hudson Soft,0,0,30,0,A
Chaos;Child,PS3,Adventure,2015.0,5pb,0,0,1,0,A
Missile Command,PS,Shooter,1999.0,Atari,25,17,0,3,A
Hatsune Miku: Project Diva X,PSV,Misc,2016.0,Sega,1,0,10,0,A
Saint,Wii,Shooter,null,Unknown,2,0,0,0,A
Tears to Tiara II: Heir of the Overlord,PS3,Role-Playing,2013.0,Nippon Ichi Software,7,2,6,1,A
Summon Night 4,PSP,Role-Playing,2012.0,Namco Bandai Games,0,0,7,0,A
Tokyo Xanadu eX+,PS4,Role-Playing,2016.0,Nihon Falcom Corporation,0,0,2,0,A
The King of Fighters 02/03,XB,Fighting,2005.0,SNK Playmore,2,1,0,0,A
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,Platform,2005.0,Disney Interactive Studios,10,4,0,0,A
Izuna 2: The Unemployed Ninja Returns,DS,Role-Playing,2007.0,Success,5,0,0,0,A
The X-Factor,X360,Misc,2010.0,Deep Silver,0,8,0,1,A
G-Force,PS2,Action,2009.0,Disney Interactive Studios,12,1,0,14,A
Harvey Birdman: Attorney at Law,PS2,Adventure,2008.0,Capcom,6,4,0,1,A
Pac-Man: Adventures in Time,PSP,Fighting,2006.0,Sony Computer Entertainment,76,110,12,65,A
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,Misc,2005.0,THQ,47,17,0,1,A
Archer Maclean's Mercury,PSP,Puzzle,2005.0,Ignition Entertainment,17,24,0,14,A
Dream Pinball 3D,DS,Misc,2008.0,SouthPeak Games,3,0,0,0,A
Catwoman,PS2,Action,2004.0,Electronic Arts,8,6,0,2,A
Just Dance 4,PS3,Misc,2012.0,Ubisoft,26,12,0,6,A
Battle Spirits: Hero's Soul,PSP,Role-Playing,2010.0,Namco Bandai Games,0,0,2,0,A
Suzumiya Haruhi no Yakusoku,PSP,Adventure,2007.0,Namco Bandai Games,0,0,15,0,A
World Series of Poker: Tournament of Champions 2007 Edition,PS2,Misc,2006.0,Activision,2,1,0,0,A
Fantastic 4: Flame On,GBA,Action,2005.0,Activision,20,8,0,1,A
Star Wars: Jedi Power Battles,GBA,Action,2002.0,THQ,10,4,0,0,A
Final Fantasy XI,X360,Role-Playing,2006.0,Square Enix,17,1,0,1,A
Portal 2,PS3,Shooter,2011.0,Valve,83,63,2,25,A
uDraw Studio: Instant Artist,Wii,Misc,2011.0,THQ,8,9,0,2,A
Metal Gear Solid V: Ground Zeroes,PS4,Action,2014.0,Konami Digital Entertainment,45,46,17,20,A
Dragon Ball: Raging Blast 2,X360,Fighting,2010.0,Namco Bandai Games,49,9,1,5,A
The Hobbit,XB,Platform,2003.0,Vivendi Games,18,5,0,1,A
Monster Mayhem: Build and Battle,DS,Simulation,2009.0,Zushi Games,2,0,0,0,A
SimCity,SNES,Simulation,1991.0,Nintendo,93,27,75,4,A
Mahjong: Journey Quest for Tikal,DS,Puzzle,2008.0,Rondomedia,15,3,0,1,A
Tenchu: Shadow Assassins,Wii,Action,2008.0,Ubisoft,16,1,3,2,A
Heroes over Europe,X360,Simulation,2009.0,Ubisoft,10,3,0,1,A
Blue Breaker: Ken Yorimo Hohoemi o,PCFX,Role-Playing,1996.0,NEC,0,0,3,0,A
I Love Beauty: Hollywood Makeover,DS,Misc,2009.0,City Interactive,6,0,0,0,A
Need for Speed Carbon,XB,Racing,2006.0,Electronic Arts,35,10,0,2,A
Space Hulk,PSV,Strategy,2015.0,Funbox Media,0,1,0,0,A
Ballistic: Ecks vs. Sever,GBA,Shooter,2002.0,BAM! Entertainment,7,3,0,0,A
SRS: Street Racing Syndicate,PS2,Racing,2004.0,Namco Bandai Games,26,21,0,7,A
Blazing Angels 2: Secret Missions of WWII,PS3,Simulation,2007.0,Ubisoft,10,3,0,2,A
Disney Princess: Enchanted Journey,Wii,Adventure,2007.0,Disney Interactive Studios,124,4,0,9,A
Romancing SaGa,SNES,Role-Playing,1992.0,SquareSoft,0,0,97,0,A
Guilty Gear X,PS2,Fighting,2001.0,Sammy Corporation,6,5,0,2,A
Resident Evil 4,GC,Action,2005.0,Capcom,98,42,22,6,A
Beamrider,2600,Racing,1984.0,Activision,26,1,0,0,A
Transformers: Devastation,PS4,Action,2015.0,Activision,10,8,0,4,A
Zoobles! Spring to Life!,DS,Misc,2011.0,Activision,10,2,0,1,A
Theatrhythm: Final Fantasy,3DS,Misc,2012.0,Square Enix,22,7,18,2,A
Amagami,PSV,Adventure,2014.0,Kadokawa Games,0,0,4,0,A
Mobile Suit Gundam: MS Sensen 0079,Wii,Simulation,2007.0,Namco Bandai Games,0,0,11,0,A
XGIII: Extreme G Racing,GC,Racing,2001.0,Acclaim Entertainment,12,3,0,0,A
Dragon Quest Monsters 1쨌2,PS,Role-Playing,2002.0,Enix Corporation,0,0,30,2,A
Naruto: Ultimate Ninja (JP sales),PS2,Fighting,2003.0,Atari,0,0,32,0,A
Hello Kitty: Roller Rescue,PC,Action,2005.0,Empire Interactive,0,3,0,0,A
Starry ? Sky: In Spring,PSP,Misc,2010.0,Asgard,0,0,5,0,A
Rozen Maiden: Gebetgarten,PS2,Fighting,2007.0,Taito,0,0,1,0,A
Cloudy With a Chance of Meatballs,X360,Platform,2009.0,Ubisoft,7,1,0,1,A
Hannspree Ten Kate Honda: SBK Superbike World Championship,PS2,Racing,2007.0,Black Bean Games,3,3,0,1,A
Enthusia Professional Racing,PS2,Racing,2005.0,Konami Digital Entertainment,7,6,0,2,A
Ape Escape 2,PS2,Platform,2002.0,Sony Computer Entertainment,12,9,38,3,A
America's Army: True Soldiers,X360,Shooter,2007.0,Ubisoft,8,0,0,1,A
Super Robot Gakuen,DS,Adventure,2009.0,Namco Bandai Games,0,0,4,0,A
Story Hour: Fairy Tales,Wii,Adventure,2008.0,Zoo Digital Publishing,4,0,0,0,A
Sniper Elite,PC,Shooter,2005.0,MC2 Entertainment,0,1,0,0,A
Yoake Yori Ruriiro na Portable,PSP,Adventure,2010.0,Kadokawa Shoten,0,0,2,0,A
Devil May Cry 4,X360,Action,2008.0,Capcom,79,34,8,13,A
The Berenstain Bears and the Spooky Old Tree,GBA,Platform,2005.0,Namco Bandai Games,3,1,0,0,A
Bravely Default: Flying Fairy,3DS,Role-Playing,2012.0,Nintendo,50,32,49,7,A
Keystone Kapers,2600,Action,1982.0,Activision,62,4,0,1,A
Cats & Dogs: The Revenge of Kitty Galore,DS,Action,2010.0,505 Games,10,0,0,1,A
SD Gundam G Generation Portable,PSP,Strategy,2006.0,Namco Bandai Games,0,0,27,0,A
TOEIC Test Training DS,DS,Misc,2007.0,IE Institute,0,0,17,0,A
Scrabble,PS,Misc,1999.0,Ubisoft,14,10,0,2,A
Ridge Racer Unbounded,PS3,Racing,2012.0,Namco Bandai Games,5,10,0,3,A
Deadly Duck,2600,Shooter,1981.0,20th Century Fox Video Games,21,1,0,0,A
Jewel Master: Cradle of Persia,DS,Puzzle,2012.0,Rising Star Games,0,5,0,1,A
Assetto Corsa,PS4,Racing,2016.0,505 Games,0,4,0,1,A
X-Men: Next Dimension,GC,Fighting,2002.0,Activision,10,3,0,0,A
The Thing,PS2,Adventure,2002.0,Vivendi Games,22,17,0,6,A
Katekyoo Hitman Reborn! Dream Hyper Battle!,PS2,Fighting,2007.0,Marvelous Interactive,0,0,2,0,A
Yakuza 4,PS3,Action,null,Sega,15,14,63,5,A
Higurashi no Naku Koro ni Iki,PSV,Action,2015.0,Kaga Create,0,0,3,0,A
Resident Evil (Remake),GC,Action,2002.0,Capcom,63,38,35,5,A
Imagine: Babyz Fashion,DS,Simulation,2009.0,Ubisoft,19,0,0,1,A
Yakuza,PS2,Action,2005.0,Sega,3,2,74,1,A
Resident Evil 6,PS4,Shooter,2016.0,Capcom,5,0,0,1,A
Grand Theft Auto: Liberty City Stories,PSP,Action,2005.0,Take-Two Interactive,290,283,24,175,A
LEGO Marvel Super Heroes,XOne,Action,2013.0,Warner Bros. Interactive Entertainment,61,34,0,9,A
Gunship,PS,Simulation,1996.0,Microprose,15,10,0,2,A
Dragon Quest IV: Chapters of the Chosen,DS,Role-Playing,2007.0,Square Enix,32,2,127,3,A
TV Show King Party,Wii,Puzzle,2008.0,Ubisoft,18,41,0,8,A
Diddy Kong Racing,N64,Racing,1997.0,Nintendo,291,99,89,10,A
Pet Zombies,3DS,Simulation,null,Majesco Entertainment,18,0,0,1,A
The Sims: Bustin' Out,GBA,Simulation,2003.0,Electronic Arts,93,35,0,6,A
Myst IV: Revelation,PC,Adventure,2004.0,Ubisoft,1,0,0,0,A
Gran Turismo 6,PS3,Racing,2013.0,Sony Computer Entertainment,71,180,40,74,A
Pokemon Ruby/Pokemon Sapphire,GBA,Role-Playing,2002.0,Nintendo,606,390,538,50,A
Lunar: Silver Star Harmony,PSP,Role-Playing,2009.0,GungHo,19,0,3,2,A
The Ant Bully,PS2,Platform,2006.0,Midway Games,5,4,0,1,A
Blade II,XB,Action,2002.0,Activision,10,3,0,0,A
Hot Wheels: Track Attack,DS,Racing,2010.0,THQ,18,8,0,2,A
The Crow: City of Angels,PS,Action,1997.0,Acclaim Entertainment,1,1,0,0,A
Jampack: Summer 2003 (RP-M),PS2,Misc,2003.0,Sony Computer Entertainment,15,12,0,4,A
Culdcept Revolt,3DS,Strategy,2016.0,Nintendo,0,0,5,0,A
Darksiders II,PC,Action,2012.0,Nordic Games,3,10,0,3,A
LEGO Marvel Super Heroes,3DS,Action,2013.0,Warner Bros. Interactive Entertainment,42,36,4,7,A
DropCast,DS,Puzzle,2008.0,THQ,6,0,0,0,A
